"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDPHRWKD","TOT","IDX2010","A","2014",103.08942,
"AUT","GDPHRWKD","TOT","IDX2010","A","2015",104.616362,
"AUT","GDPHRWKD","TOT","IDX2010","A","2016",104.58601,
"AUT","GDPHRWKD","TOT","IDX2010","A","2017",105.50113,
"AUT","GDPHRWKD","TOT","IDX2010","A","2018",106.228242,
"BEL","GDPHRWKD","TOT","IDX2010","A","2001",89.180306,
"BEL","GDPHRWKD","TOT","IDX2010","A","2002",91.199821,
"BEL","GDPHRWKD","TOT","IDX2010","A","2003",92.509648,
"BEL","GDPHRWKD","TOT","IDX2010","A","2004",95.17278,
"BEL","GDPHRWKD","TOT","IDX2010","A","2005",96.4597,
"BEL","GDPHRWKD","TOT","IDX2010","A","2006",97.401038,
"BEL","GDPHRWKD","TOT","IDX2010","A","2007",99.065275,
"BEL","GDPHRWKD","TOT","IDX2010","A","2008",98.158279,
"BEL","GDPHRWKD","TOT","IDX2010","A","2009",97.695379,
"BEL","GDPHRWKD","TOT","IDX2010","A","2010",100,
"BEL","GDPHRWKD","TOT","IDX2010","A","2011",99.43387,
"BEL","GDPHRWKD","TOT","IDX2010","A","2012",99.717705,
"BEL","GDPHRWKD","TOT","IDX2010","A","2013",100.626784,
"BEL","GDPHRWKD","TOT","IDX2010","A","2014",101.954863,
"BEL","GDPHRWKD","TOT","IDX2010","A","2015",103.64989,
"BEL","GDPHRWKD","TOT","IDX2010","A","2016",103.905614,
"BEL","GDPHRWKD","TOT","IDX2010","A","2017",104.35484,
"BEL","GDPHRWKD","TOT","IDX2010","A","2018",101.578224,
"CAN","GDPHRWKD","TOT","IDX2010","A","2001",93.09373,
"CAN","GDPHRWKD","TOT","IDX2010","A","2002",94.60312,
"CAN","GDPHRWKD","TOT","IDX2010","A","2003",94.838443,
"CAN","GDPHRWKD","TOT","IDX2010","A","2004",95.641145,
"CAN","GDPHRWKD","TOT","IDX2010","A","2005",97.760084,
"CAN","GDPHRWKD","TOT","IDX2010","A","2006",98.801187,
"CAN","GDPHRWKD","TOT","IDX2010","A","2007",98.790884,
"CAN","GDPHRWKD","TOT","IDX2010","A","2008",98.513323,
"CAN","GDPHRWKD","TOT","IDX2010","A","2009",98.986012,
"CAN","GDPHRWKD","TOT","IDX2010","A","2010",100,
"CAN","GDPHRWKD","TOT","IDX2010","A","2011",101.636524,
"CAN","GDPHRWKD","TOT","IDX2010","A","2012",101.864733,
"CAN","GDPHRWKD","TOT","IDX2010","A","2013",103.217439,
"CAN","GDPHRWKD","TOT","IDX2010","A","2014",105.940118,
"CAN","GDPHRWKD","TOT","IDX2010","A","2015",105.643173,
"CAN","GDPHRWKD","TOT","IDX2010","A","2016",105.975508,
"CAN","GDPHRWKD","TOT","IDX2010","A","2017",107.996904,
"CAN","GDPHRWKD","TOT","IDX2010","A","2018",107.912688,
"CZE","GDPHRWKD","TOT","IDX2010","A","2001",77.777091,
"CZE","GDPHRWKD","TOT","IDX2010","A","2002",78.645327,
"CZE","GDPHRWKD","TOT","IDX2010","A","2003",82.601287,
"CZE","GDPHRWKD","TOT","IDX2010","A","2004",86.300934,
"CZE","GDPHRWKD","TOT","IDX2010","A","2005",90.192039,
"CZE","GDPHRWKD","TOT","IDX2010","A","2006",96.033788,
"CZE","GDPHRWKD","TOT","IDX2010","A","2007",100.164275,
"CZE","GDPHRWKD","TOT","IDX2010","A","2008",100.367255,
"CZE","GDPHRWKD","TOT","IDX2010","A","2009",97.893602,
"CZE","GDPHRWKD","TOT","IDX2010","A","2010",100,
"CZE","GDPHRWKD","TOT","IDX2010","A","2011",101.71025,
"CZE","GDPHRWKD","TOT","IDX2010","A","2012",102.143529,
"CZE","GDPHRWKD","TOT","IDX2010","A","2013",102.077197,
"CZE","GDPHRWKD","TOT","IDX2010","A","2014",103.467311,
"CZE","GDPHRWKD","TOT","IDX2010","A","2015",108.685622,
"CZE","GDPHRWKD","TOT","IDX2010","A","2016",108.228042,
"CZE","GDPHRWKD","TOT","IDX2010","A","2017",110.846595,
"CZE","GDPHRWKD","TOT","IDX2010","A","2018",112.461583,
"DNK","GDPHRWKD","TOT","IDX2010","A","2001",90.605836,
"DNK","GDPHRWKD","TOT","IDX2010","A","2002",91.350773,
"DNK","GDPHRWKD","TOT","IDX2010","A","2003",92.858391,
"DNK","GDPHRWKD","TOT","IDX2010","A","2004",95.82359,
"DNK","GDPHRWKD","TOT","IDX2010","A","2005",97.135285,
"DNK","GDPHRWKD","TOT","IDX2010","A","2006",98.415447,
"DNK","GDPHRWKD","TOT","IDX2010","A","2007",98.596942,
"DNK","GDPHRWKD","TOT","IDX2010","A","2008",97.129108,
"DNK","GDPHRWKD","TOT","IDX2010","A","2009",96.233835,
"DNK","GDPHRWKD","TOT","IDX2010","A","2010",100,
"DNK","GDPHRWKD","TOT","IDX2010","A","2011",100.346257,
"DNK","GDPHRWKD","TOT","IDX2010","A","2012",102.264152,
"DNK","GDPHRWKD","TOT","IDX2010","A","2013",103.068291,
"DNK","GDPHRWKD","TOT","IDX2010","A","2014",104.701016,
"DNK","GDPHRWKD","TOT","IDX2010","A","2015",106.19611,
"DNK","GDPHRWKD","TOT","IDX2010","A","2016",107.4605,
"DNK","GDPHRWKD","TOT","IDX2010","A","2017",108.453113,
"DNK","GDPHRWKD","TOT","IDX2010","A","2018",111.354022,
"FIN","GDPHRWKD","TOT","IDX2010","A","2001",89.080858,
"FIN","GDPHRWKD","TOT","IDX2010","A","2002",89.931763,
"FIN","GDPHRWKD","TOT","IDX2010","A","2003",91.966687,
"FIN","GDPHRWKD","TOT","IDX2010","A","2004",95.078131,
"FIN","GDPHRWKD","TOT","IDX2010","A","2005",96.785147,
"FIN","GDPHRWKD","TOT","IDX2010","A","2006",99.068832,
"FIN","GDPHRWKD","TOT","IDX2010","A","2007",102.187885,
"FIN","GDPHRWKD","TOT","IDX2010","A","2008",101.117282,
"FIN","GDPHRWKD","TOT","IDX2010","A","2009",96.754819,
"FIN","GDPHRWKD","TOT","IDX2010","A","2010",100,
"FIN","GDPHRWKD","TOT","IDX2010","A","2011",101.255209,
"FIN","GDPHRWKD","TOT","IDX2010","A","2012",99.750887,
"FIN","GDPHRWKD","TOT","IDX2010","A","2013",100.243569,
"FIN","GDPHRWKD","TOT","IDX2010","A","2014",100.505392,
"FIN","GDPHRWKD","TOT","IDX2010","A","2015",101.080197,
"FIN","GDPHRWKD","TOT","IDX2010","A","2016",103.468708,
"FIN","GDPHRWKD","TOT","IDX2010","A","2017",105.789955,
"FIN","GDPHRWKD","TOT","IDX2010","A","2018",104.860317,
"FRA","GDPHRWKD","TOT","IDX2010","A","2001",93.204922,
"FRA","GDPHRWKD","TOT","IDX2010","A","2002",95.925989,
"FRA","GDPHRWKD","TOT","IDX2010","A","2003",96.473494,
"FRA","GDPHRWKD","TOT","IDX2010","A","2004",97.539652,
"FRA","GDPHRWKD","TOT","IDX2010","A","2005",98.405401,
"FRA","GDPHRWKD","TOT","IDX2010","A","2006",100.855351,
"FRA","GDPHRWKD","TOT","IDX2010","A","2007",100.382673,
"FRA","GDPHRWKD","TOT","IDX2010","A","2008",99.742223,
"FRA","GDPHRWKD","TOT","IDX2010","A","2009",98.722057,
"FRA","GDPHRWKD","TOT","IDX2010","A","2010",100,
"FRA","GDPHRWKD","TOT","IDX2010","A","2011",101.001301,
"FRA","GDPHRWKD","TOT","IDX2010","A","2012",101.331298,
"FRA","GDPHRWKD","TOT","IDX2010","A","2013",102.703585,
"FRA","GDPHRWKD","TOT","IDX2010","A","2014",103.691799,
"FRA","GDPHRWKD","TOT","IDX2010","A","2015",104.533053,
"FRA","GDPHRWKD","TOT","IDX2010","A","2016",104.825146,
"FRA","GDPHRWKD","TOT","IDX2010","A","2017",107.313166,
"FRA","GDPHRWKD","TOT","IDX2010","A","2018",108.824436,
"DEU","GDPHRWKD","TOT","IDX2010","A","2001",94.020002,
"DEU","GDPHRWKD","TOT","IDX2010","A","2002",94.89137,
"DEU","GDPHRWKD","TOT","IDX2010","A","2003",95.60833,
"DEU","GDPHRWKD","TOT","IDX2010","A","2004",96.493828,
"DEU","GDPHRWKD","TOT","IDX2010","A","2005",98.006764,
"DEU","GDPHRWKD","TOT","IDX2010","A","2006",99.572097,
"DEU","GDPHRWKD","TOT","IDX2010","A","2007",100.75727,
"DEU","GDPHRWKD","TOT","IDX2010","A","2008",100.785387,
"DEU","GDPHRWKD","TOT","IDX2010","A","2009",97.747395,
"DEU","GDPHRWKD","TOT","IDX2010","A","2010",100,
"DEU","GDPHRWKD","TOT","IDX2010","A","2011",102.600516,
"DEU","GDPHRWKD","TOT","IDX2010","A","2012",103.234734,
"DEU","GDPHRWKD","TOT","IDX2010","A","2013",103.715397,
"DEU","GDPHRWKD","TOT","IDX2010","A","2014",104.806296,
"DEU","GDPHRWKD","TOT","IDX2010","A","2015",105.609352,
"DEU","GDPHRWKD","TOT","IDX2010","A","2016",107.108002,
"DEU","GDPHRWKD","TOT","IDX2010","A","2017",108.543162,
"DEU","GDPHRWKD","TOT","IDX2010","A","2018",108.822349,
"GRC","GDPHRWKD","TOT","IDX2010","A","2001",91.417522,
"GRC","GDPHRWKD","TOT","IDX2010","A","2002",93.105225,
"GRC","GDPHRWKD","TOT","IDX2010","A","2003",97.20367,
"GRC","GDPHRWKD","TOT","IDX2010","A","2004",100.1691,
"GRC","GDPHRWKD","TOT","IDX2010","A","2005",97.301574,
"GRC","GDPHRWKD","TOT","IDX2010","A","2006",101.512565,
"GRC","GDPHRWKD","TOT","IDX2010","A","2007",104.159679,
"GRC","GDPHRWKD","TOT","IDX2010","A","2008",102.703807,
"GRC","GDPHRWKD","TOT","IDX2010","A","2009",100.035145,
"GRC","GDPHRWKD","TOT","IDX2010","A","2010",100,
"GRC","GDPHRWKD","TOT","IDX2010","A","2011",96.728324,
"GRC","GDPHRWKD","TOT","IDX2010","A","2012",94.880526,
"GRC","GDPHRWKD","TOT","IDX2010","A","2013",94.082645,
"GRC","GDPHRWKD","TOT","IDX2010","A","2014",95.703851,
"GRC","GDPHRWKD","TOT","IDX2010","A","2015",94.113425,
"GRC","GDPHRWKD","TOT","IDX2010","A","2016",93.545021,
"GRC","GDPHRWKD","TOT","IDX2010","A","2017",92.840298,
"GRC","GDPHRWKD","TOT","IDX2010","A","2018",93.049659,
"HUN","GDPHRWKD","TOT","IDX2010","A","2001",69.199187,
"HUN","GDPHRWKD","TOT","IDX2010","A","2002",72.106146,
"HUN","GDPHRWKD","TOT","IDX2010","A","2003",76.079675,
"HUN","GDPHRWKD","TOT","IDX2010","A","2004",80.196842,
"HUN","GDPHRWKD","TOT","IDX2010","A","2005",83.81252,
"HUN","GDPHRWKD","TOT","IDX2010","A","2006",86.966021,
"HUN","GDPHRWKD","TOT","IDX2010","A","2007",87.270241,
"HUN","GDPHRWKD","TOT","IDX2010","A","2008",89.820218,
"HUN","GDPHRWKD","TOT","IDX2010","A","2009",86.762659,
"HUN","GDPHRWKD","TOT","IDX2010","A","2010",100,"B"
"HUN","GDPHRWKD","TOT","IDX2010","A","2011",100.436142,
"HUN","GDPHRWKD","TOT","IDX2010","A","2012",99.199884,
"HUN","GDPHRWKD","TOT","IDX2010","A","2013",100.258988,
"HUN","GDPHRWKD","TOT","IDX2010","A","2014",99.470052,
"HUN","GDPHRWKD","TOT","IDX2010","A","2015",101.212298,
"HUN","GDPHRWKD","TOT","IDX2010","A","2016",99.078798,
"HUN","GDPHRWKD","TOT","IDX2010","A","2017",102.601194,
"HUN","GDPHRWKD","TOT","IDX2010","A","2018",107.002511,
"ISL","GDPHRWKD","TOT","IDX2010","A","2001",72.303325,
"ISL","GDPHRWKD","TOT","IDX2010","A","2002",75.384335,
"ISL","GDPHRWKD","TOT","IDX2010","A","2003",78.453835,
"ISL","GDPHRWKD","TOT","IDX2010","A","2004",84.757259,
"ISL","GDPHRWKD","TOT","IDX2010","A","2005",87.703499,
"ISL","GDPHRWKD","TOT","IDX2010","A","2006",88.405666,
"ISL","GDPHRWKD","TOT","IDX2010","A","2007",93.73587,
"ISL","GDPHRWKD","TOT","IDX2010","A","2008",94.747007,
"ISL","GDPHRWKD","TOT","IDX2010","A","2009",101.673471,
"ISL","GDPHRWKD","TOT","IDX2010","A","2010",100,
"ISL","GDPHRWKD","TOT","IDX2010","A","2011",100.150329,
"ISL","GDPHRWKD","TOT","IDX2010","A","2012",100.500358,
"ISL","GDPHRWKD","TOT","IDX2010","A","2013",102.089171,
"ISL","GDPHRWKD","TOT","IDX2010","A","2014",102.417635,
"ISL","GDPHRWKD","TOT","IDX2010","A","2015",104.406218,
"ISL","GDPHRWKD","TOT","IDX2010","A","2016",107.42669,
"ISL","GDPHRWKD","TOT","IDX2010","A","2017",108.721799,
"ISL","GDPHRWKD","TOT","IDX2010","A","2018",111.642161,
"IRL","GDPHRWKD","TOT","IDX2010","A","2001",76.602111,
"IRL","GDPHRWKD","TOT","IDX2010","A","2002",80.688157,
"IRL","GDPHRWKD","TOT","IDX2010","A","2003",82.366672,
"IRL","GDPHRWKD","TOT","IDX2010","A","2004",85.541187,
"IRL","GDPHRWKD","TOT","IDX2010","A","2005",85.820559,
"IRL","GDPHRWKD","TOT","IDX2010","A","2006",86.389648,
"IRL","GDPHRWKD","TOT","IDX2010","A","2007",87.827416,
"IRL","GDPHRWKD","TOT","IDX2010","A","2008",85.387062,
"IRL","GDPHRWKD","TOT","IDX2010","A","2009",89.503525,
"IRL","GDPHRWKD","TOT","IDX2010","A","2010",100,"B"
"IRL","GDPHRWKD","TOT","IDX2010","A","2011",101.636455,
"IRL","GDPHRWKD","TOT","IDX2010","A","2012",102.347473,
"IRL","GDPHRWKD","TOT","IDX2010","A","2013",100.435699,
"IRL","GDPHRWKD","TOT","IDX2010","A","2014",105.343945,
"IRL","GDPHRWKD","TOT","IDX2010","A","2015",126.273341,
"IRL","GDPHRWKD","TOT","IDX2010","A","2016",126.774384,
"IRL","GDPHRWKD","TOT","IDX2010","A","2017",132.202588,
"IRL","GDPHRWKD","TOT","IDX2010","A","2018",137.786758,
"ITA","GDPHRWKD","TOT","IDX2010","A","2001",100.853561,
"ITA","GDPHRWKD","TOT","IDX2010","A","2002",100.062693,
"ITA","GDPHRWKD","TOT","IDX2010","A","2003",99.353618,
"ITA","GDPHRWKD","TOT","IDX2010","A","2004",100.186798,
"ITA","GDPHRWKD","TOT","IDX2010","A","2005",100.634422,
"ITA","GDPHRWKD","TOT","IDX2010","A","2006",100.41287,
"ITA","GDPHRWKD","TOT","IDX2010","A","2007",100.336547,
"ITA","GDPHRWKD","TOT","IDX2010","A","2008",99.764425,
"ITA","GDPHRWKD","TOT","IDX2010","A","2009",97.777066,
"ITA","GDPHRWKD","TOT","IDX2010","A","2010",100,
"ITA","GDPHRWKD","TOT","IDX2010","A","2011",100.675089,
"ITA","GDPHRWKD","TOT","IDX2010","A","2012",100.136945,
"ITA","GDPHRWKD","TOT","IDX2010","A","2013",100.93288,
"ITA","GDPHRWKD","TOT","IDX2010","A","2014",101.013172,
"ITA","GDPHRWKD","TOT","IDX2010","A","2015",101.07314,
"ITA","GDPHRWKD","TOT","IDX2010","A","2016",100.748523,
"ITA","GDPHRWKD","TOT","IDX2010","A","2017",101.436145,
"ITA","GDPHRWKD","TOT","IDX2010","A","2018",101.121379,
"JPN","GDPHRWKD","TOT","IDX2010","A","2001",90.433465,
"JPN","GDPHRWKD","TOT","IDX2010","A","2002",92.169896,
"JPN","GDPHRWKD","TOT","IDX2010","A","2003",93.477245,
"JPN","GDPHRWKD","TOT","IDX2010","A","2004",95.63376,
"JPN","GDPHRWKD","TOT","IDX2010","A","2005",97.102924,
"JPN","GDPHRWKD","TOT","IDX2010","A","2006",97.304897,
"JPN","GDPHRWKD","TOT","IDX2010","A","2007",98.081732,
"JPN","GDPHRWKD","TOT","IDX2010","A","2008",97.92474,
"JPN","GDPHRWKD","TOT","IDX2010","A","2009",96.836779,
"JPN","GDPHRWKD","TOT","IDX2010","A","2010",100,
"JPN","GDPHRWKD","TOT","IDX2010","A","2011",100.233283,
"JPN","GDPHRWKD","TOT","IDX2010","A","2012",101.170467,
"JPN","GDPHRWKD","TOT","IDX2010","A","2013",103.259424,
"JPN","GDPHRWKD","TOT","IDX2010","A","2014",103.339128,
"JPN","GDPHRWKD","TOT","IDX2010","A","2015",104.756992,
"JPN","GDPHRWKD","TOT","IDX2010","A","2016",104.703232,
"JPN","GDPHRWKD","TOT","IDX2010","A","2017",106.005834,
"JPN","GDPHRWKD","TOT","IDX2010","A","2018",106.51663,
"KOR","GDPHRWKD","TOT","IDX2010","A","2001",63.875746,
"KOR","GDPHRWKD","TOT","IDX2010","A","2002",68.084515,
"KOR","GDPHRWKD","TOT","IDX2010","A","2003",71.243933,
"KOR","GDPHRWKD","TOT","IDX2010","A","2004",74.468989,
"KOR","GDPHRWKD","TOT","IDX2010","A","2005",77.972097,
"KOR","GDPHRWKD","TOT","IDX2010","A","2006",81.218359,
"KOR","GDPHRWKD","TOT","IDX2010","A","2007",86.357648,
"KOR","GDPHRWKD","TOT","IDX2010","A","2008",91.22242,
"KOR","GDPHRWKD","TOT","IDX2010","A","2009",94.377491,
"KOR","GDPHRWKD","TOT","IDX2010","A","2010",100,
"KOR","GDPHRWKD","TOT","IDX2010","A","2011",102.893115,
"KOR","GDPHRWKD","TOT","IDX2010","A","2012",104.344642,
"KOR","GDPHRWKD","TOT","IDX2010","A","2013",106.687914,
"KOR","GDPHRWKD","TOT","IDX2010","A","2014",109.117317,
"KOR","GDPHRWKD","TOT","IDX2010","A","2015",110.607521,
"KOR","GDPHRWKD","TOT","IDX2010","A","2016",113.687962,
"KOR","GDPHRWKD","TOT","IDX2010","A","2017",118.766173,
"KOR","GDPHRWKD","TOT","IDX2010","A","2018",123.012839,
"LUX","GDPHRWKD","TOT","IDX2010","A","2001",96.794515,
"LUX","GDPHRWKD","TOT","IDX2010","A","2002",97.979172,
"LUX","GDPHRWKD","TOT","IDX2010","A","2003",97.87944,
"LUX","GDPHRWKD","TOT","IDX2010","A","2004",99.147312,
"LUX","GDPHRWKD","TOT","IDX2010","A","2005",101.333981,
"LUX","GDPHRWKD","TOT","IDX2010","A","2006",102.487284,
"LUX","GDPHRWKD","TOT","IDX2010","A","2007",105.413176,
"LUX","GDPHRWKD","TOT","IDX2010","A","2008",99.283936,
"LUX","GDPHRWKD","TOT","IDX2010","A","2009",97.10167,
"LUX","GDPHRWKD","TOT","IDX2010","A","2010",100,
"LUX","GDPHRWKD","TOT","IDX2010","A","2011",99.696771,
"LUX","GDPHRWKD","TOT","IDX2010","A","2012",97.441434,
"LUX","GDPHRWKD","TOT","IDX2010","A","2013",99.546202,
"LUX","GDPHRWKD","TOT","IDX2010","A","2014",100.999136,
"LUX","GDPHRWKD","TOT","IDX2010","A","2015",102.200273,
"LUX","GDPHRWKD","TOT","IDX2010","A","2016",103.829653,
"LUX","GDPHRWKD","TOT","IDX2010","A","2017",102.6564,
"LUX","GDPHRWKD","TOT","IDX2010","A","2018",102.057846,
"MEX","GDPHRWKD","TOT","IDX2010","A","2001",105.685658,
"MEX","GDPHRWKD","TOT","IDX2010","A","2002",100.863351,
"MEX","GDPHRWKD","TOT","IDX2010","A","2003",104.018528,
"MEX","GDPHRWKD","TOT","IDX2010","A","2004",105.449408,
"MEX","GDPHRWKD","TOT","IDX2010","A","2005",103.999893,
"MEX","GDPHRWKD","TOT","IDX2010","A","2006",107.379274,
"MEX","GDPHRWKD","TOT","IDX2010","A","2007",108.849329,
"MEX","GDPHRWKD","TOT","IDX2010","A","2008",105.258069,
"MEX","GDPHRWKD","TOT","IDX2010","A","2009",105.236776,
"MEX","GDPHRWKD","TOT","IDX2010","A","2010",100,"B"
"MEX","GDPHRWKD","TOT","IDX2010","A","2011",102.805566,
"MEX","GDPHRWKD","TOT","IDX2010","A","2012",103.19107,
"MEX","GDPHRWKD","TOT","IDX2010","A","2013",102.697226,
"MEX","GDPHRWKD","TOT","IDX2010","A","2014",105.273897,"E"
"MEX","GDPHRWKD","TOT","IDX2010","A","2015",105.868272,"E"
"MEX","GDPHRWKD","TOT","IDX2010","A","2016",106.585644,"E"
"MEX","GDPHRWKD","TOT","IDX2010","A","2017",107.14123,"E"
"MEX","GDPHRWKD","TOT","IDX2010","A","2018",106.470778,"E"
"NLD","GDPHRWKD","TOT","IDX2010","A","2001",91.567204,
"NLD","GDPHRWKD","TOT","IDX2010","A","2002",92.235549,
"NLD","GDPHRWKD","TOT","IDX2010","A","2003",93.453431,
"NLD","GDPHRWKD","TOT","IDX2010","A","2004",95.06519,
"NLD","GDPHRWKD","TOT","IDX2010","A","2005",97.335278,
"NLD","GDPHRWKD","TOT","IDX2010","A","2006",98.782988,
"NLD","GDPHRWKD","TOT","IDX2010","A","2007",99.665562,
"NLD","GDPHRWKD","TOT","IDX2010","A","2008",100.237746,
"NLD","GDPHRWKD","TOT","IDX2010","A","2009",97.976689,
"NLD","GDPHRWKD","TOT","IDX2010","A","2010",100,
"NLD","GDPHRWKD","TOT","IDX2010","A","2011",100.64084,
"NLD","GDPHRWKD","TOT","IDX2010","A","2012",100.49104,
"NLD","GDPHRWKD","TOT","IDX2010","A","2013",101.254678,
"NLD","GDPHRWKD","TOT","IDX2010","A","2014",102.004433,
"NLD","GDPHRWKD","TOT","IDX2010","A","2015",103.007055,
"NLD","GDPHRWKD","TOT","IDX2010","A","2016",102.846427,
"NLD","GDPHRWKD","TOT","IDX2010","A","2017",103.730039,
"NLD","GDPHRWKD","TOT","IDX2010","A","2018",104.104469,
"NZL","GDPHRWKD","TOT","IDX2010","A","2001",90.955562,
"NZL","GDPHRWKD","TOT","IDX2010","A","2002",92.728299,
"NZL","GDPHRWKD","TOT","IDX2010","A","2003",94.485376,
"NZL","GDPHRWKD","TOT","IDX2010","A","2004",94.137172,
"NZL","GDPHRWKD","TOT","IDX2010","A","2005",94.024369,
"NZL","GDPHRWKD","TOT","IDX2010","A","2006",95.395834,
"NZL","GDPHRWKD","TOT","IDX2010","A","2007",99.110045,
"NZL","GDPHRWKD","TOT","IDX2010","A","2008",95.975893,
"NZL","GDPHRWKD","TOT","IDX2010","A","2009",100.967367,
"NZL","GDPHRWKD","TOT","IDX2010","A","2010",100,
"NZL","GDPHRWKD","TOT","IDX2010","A","2011",101.969676,
"NZL","GDPHRWKD","TOT","IDX2010","A","2012",105.655646,
"NZL","GDPHRWKD","TOT","IDX2010","A","2013",103.760934,
"NZL","GDPHRWKD","TOT","IDX2010","A","2014",103.36725,
"NZL","GDPHRWKD","TOT","IDX2010","A","2015",106.063553,
"NZL","GDPHRWKD","TOT","IDX2010","A","2016",105.477651,
"NZL","GDPHRWKD","TOT","IDX2010","A","2017",103.852825,
"NZL","GDPHRWKD","TOT","IDX2010","A","2018",104.341273,"E"
"NOR","GDPHRWKD","TOT","IDX2010","A","2001",93.31401,
"NOR","GDPHRWKD","TOT","IDX2010","A","2002",96.314676,
"NOR","GDPHRWKD","TOT","IDX2010","A","2003",99.91223,
"NOR","GDPHRWKD","TOT","IDX2010","A","2004",102.460028,
"NOR","GDPHRWKD","TOT","IDX2010","A","2005",103.956652,
"NOR","GDPHRWKD","TOT","IDX2010","A","2006",103.653388,
"NOR","GDPHRWKD","TOT","IDX2010","A","2007",102.35468,
"NOR","GDPHRWKD","TOT","IDX2010","A","2008",99.563413,
"NOR","GDPHRWKD","TOT","IDX2010","A","2009",99.583258,
"NOR","GDPHRWKD","TOT","IDX2010","A","2010",100,
"NOR","GDPHRWKD","TOT","IDX2010","A","2011",99.195175,
"NOR","GDPHRWKD","TOT","IDX2010","A","2012",100.105691,
"NOR","GDPHRWKD","TOT","IDX2010","A","2013",100.730494,
"NOR","GDPHRWKD","TOT","IDX2010","A","2014",101.452105,
"NOR","GDPHRWKD","TOT","IDX2010","A","2015",102.761441,
"NOR","GDPHRWKD","TOT","IDX2010","A","2016",103.368791,
"NOR","GDPHRWKD","TOT","IDX2010","A","2017",105.575115,
"NOR","GDPHRWKD","TOT","IDX2010","A","2018",105.080404,
"POL","GDPHRWKD","TOT","IDX2010","A","2001",73.370417,
"POL","GDPHRWKD","TOT","IDX2010","A","2002",77.406371,
"POL","GDPHRWKD","TOT","IDX2010","A","2003",80.890279,
"POL","GDPHRWKD","TOT","IDX2010","A","2004",84.04643,
"POL","GDPHRWKD","TOT","IDX2010","A","2005",85.375194,
"POL","GDPHRWKD","TOT","IDX2010","A","2006",87.810455,
"POL","GDPHRWKD","TOT","IDX2010","A","2007",90.089939,
"POL","GDPHRWKD","TOT","IDX2010","A","2008",90.821866,
"POL","GDPHRWKD","TOT","IDX2010","A","2009",93.751789,
"POL","GDPHRWKD","TOT","IDX2010","A","2010",100,"B"
"POL","GDPHRWKD","TOT","IDX2010","A","2011",104.711698,
"POL","GDPHRWKD","TOT","IDX2010","A","2012",106.565679,
"POL","GDPHRWKD","TOT","IDX2010","A","2013",108.304648,
"POL","GDPHRWKD","TOT","IDX2010","A","2014",109.636775,
"POL","GDPHRWKD","TOT","IDX2010","A","2015",111.714017,
"POL","GDPHRWKD","TOT","IDX2010","A","2016",114.08487,
"POL","GDPHRWKD","TOT","IDX2010","A","2017",119.505095,
"POL","GDPHRWKD","TOT","IDX2010","A","2018",126.581765,
"PRT","GDPHRWKD","TOT","IDX2010","A","2001",89.500553,
"PRT","GDPHRWKD","TOT","IDX2010","A","2002",90.153042,
